TRACTCE,PUMACE10
333300,02800
333400,02800
333502,02800
354500,00506
354700,00506
354800,00506
370101,00505
334100,01000
334200,01000
334400,01000
335100,02800
335200,02800
356100,00505
355000,00506
335400,02800
336100,02800
336300,02800
356300,00505
356400,00505
356500,00505
356601,00505
356602,00505
337101,02800
337102,02800
337201,02800
336402,02800
357100,00505
337202,02800
337300,02800
338100,00505
338200,00505
357200,00505
357300,00505
357400,00505
357500,00505
338400,00505
338500,00505
338300,00505
357600,00505
357700,00505
357800,00505
358100,00503
358300,00503
339200,00508
339300,00508
358400,00503
358500,00503
315403,01300
339500,00508
339700,00508
339900,00508
340000,00508
340100,00508
358600,00503
315500,01300
316400,01300
316500,01300
341400,00508
341500,00508
341600,00508
341700,00508
341800,00508
358700,00503
359100,00503
350500,00507
350600,00507
350800,00507
350900,00507
351300,00507
368101,00503
368300,00503
368600,00503
368800,00503
351500,00507
368400,00503
368200,00503
040600,03302
170302,03306
070103,03302
030302,03302
070201,03302
020305,03302
020304,03302
170504,03306
170101,03306
030301,03302
170301,03306
170503,03306
170102,03306
160103,03306
070302,03302
070301,03302
070102,03302
070501,03302
070202,03302
160102,03306
070502,03302
070104,03302
070902,03302
070802,03302
070801,03302
070901,03302
254301,01300
160400,03306
170200,03306
170400,03306
316202,01300
368500,00503
352200,00506
341200,00508
352900,00506
353800,00506
316201,01300
350300,00507
316300,01300
352300,00506
333100,02800
368700,00503
334300,01000
350400,00507
315200,01300
315402,01300
368102,00503
339600,00508
315401,01300
316101,01300
342600,00507
981700,03302
981501,00506
352500,00506
352600,00506
352700,00506
352800,00506
353000,00506
368902,00503
369000,00503
331101,01300
331102,01300
331200,01300
353200,00506
353300,00506
353600,00506
353700,00506
353900,00506
354000,00506
354100,00506
369100,00503
331300,01300
332100,00503
332300,00503
333200,02800
354200,00506
354300,00506
354400,00506
051200,03302
070700,03302
180200,03306
208101,02800
211300,01000
209100,01000
210100,01000
210200,01000
210500,01000
210600,01000
210700,01000
211100,01000
071101,03302
336202,02800
330102,01000
339101,00508
356703,00505
330202,01000
330201,01000
332401,00503
332202,00503
333602,02800
330101,01000
350106,00507
332402,00503
336201,02800
350701,00507
341302,00508
339803,00508
341301,00508
354902,00506
342402,00507
370103,00505
341903,00508
354601,00506
370301,00505
360300,00503
354602,00506
342302,00507
370403,00505
370402,00505
370302,00505
351002,00507
351001,00507
359400,00506
350202,00507
350201,00507
356704,00505
336404,02800
342501,00507
341904,00508
354901,00506
350702,00507
342401,00507
351101,00507
370104,00505
336403,02800
339102,00508
370401,00505
350108,00507
339804,00508
342301,00507
342502,00507
351102,00507
332201,00503
333601,02800
350107,00507
350109,00507
352400,00506
030500,03302
010500,03302
333501,02800
211402,01000
211401,01000
010600,03302
160200,03306
070600,03302
254200,01300
254302,01300
208200,02800
208102,02800
210900,01000
254403,01300
209200,01000
254401,01300
359303,00503
359302,00503
211202,01000
210302,01000
211201,01000
210301,01000
210402,01000
210401,01000
050101,03302
170502,03306
010802,03302
020101,03302
020301,03302
020302,03302
040100,03302
353102,00506
368901,00503
353101,00506
339802,00508
351404,00507
352102,00506
370202,00505
342101,00507
356701,00505
170800,03306
020200,03302
030200,03302
030400,03302
040200,03302
040300,03302
050200,03302
050300,03302
050400,03302
050600,03302
050700,03302
010702,03302
010801,03302
160502,03306
050500,03302
180500,03306
030100,03302
350105,00507
339400,00508
335302,02800
335301,02800
341101,00508
342202,00507
342102,00507
070402,03302
341901,00508
351403,00507
351204,00507
352101,00506
051101,03302
981600,03302
160300,03306
050901,03302
051000,03302
180301,03306
170601,03306
981502,03302
160601,03306
180101,03306
180400,03306
160602,03306
170702,03306
010701,03302
160501,03306
040801,03302
071201,03302
254100,01300
254402,01300
341102,00508
351203,00507
981300,03302
315100,01300
170701,03306
370201,00505
040401,03302
210800,01000
316102,01300
342201,00507
208301,02800
208302,02800
208401,02800
208402,02800
